county,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,release_date
Moffat,Colorado,13794,13423,13171,13126,12934,12939,13144,13088,13183,13283,20200301
Montezuma,Colorado,25576,25476,25476,25542,25514,25716,25994,26112,26152,26183,20200301
Montrose,Colorado,41186,40974,40650,40549,40585,40562,41151,41753,42206,42758,20200301
Morgan,Colorado,28241,28452,28248,28223,28103,28252,28199,28295,28769,29068,20200301
Otero,Colorado,18859,18839,18634,18452,18336,18182,18266,18345,18338,18278,20200301
Ouray,Colorado,4456,4423,4507,4552,4574,4608,4789,4813,4822,4952,20200301
Park,Colorado,16279,16055,16049,16184,16381,16726,17343,17894,18525,18845,20200301
Phillips,Colorado,4469,4401,4417,4383,4392,4327,4280,4288,4285,4265,20200301
Pitkin,Colorado,17154,17169,17292,17460,17712,17940,17975,17973,17976,17767,20200301
Prowers,Colorado,12545,12502,12421,12317,12062,11936,11926,11998,12079,12172,20200301
Pueblo,Colorado,159390,160184,160721,161033,161356,163006,164774,166283,167422,168424,20200301
Rio Blanco,Colorado,6623,6747,6758,6693,6595,6478,6436,6352,6330,6324,20200301
Rio Grande,Colorado,12023,11913,11866,11676,11504,11352,11337,11297,11271,11267,20200301
Routt,Colorado,23434,23252,23272,23599,24067,24360,24682,25171,25507,25638,20200301
Saguache,Colorado,6136,6188,6333,6242,6198,6253,6412,6633,6840,6824,20200301
San Juan,Colorado,708,690,692,692,712,689,691,712,764,728,20200301
San Miguel,Colorado,7357,7487,7581,7621,7738,7836,8017,8034,8180,8179,20200301
Sedgwick,Colorado,2371,2372,2378,2340,2334,2373,2400,2311,2276,2248,20200301
Summit,Colorado,28073,28042,28298,28728,29317,30045,30552,30820,30817,31011,20200301
Teller,Colorado,23469,23369,23445,23356,23433,23388,24058,24674,25113,25388,20200301
Washington,Colorado,4821,4762,4701,4743,4733,4786,4834,4921,4888,4908,20200301
Weld,Colorado,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492,20200301
Yuma,Colorado,10049,10134,10100,10132,10184,10037,10055,9959,9947,10019,20200301
Fairfield,Connecticut,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332,20200301
Hartford,Connecticut,895236,896864,897706,897678,897407,896290,894141,893076,892580,891720,20200301
